Vienna,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11082099999,3/1/13,0,NaN,NaN,0,NaN,NaN,0.02,NaN,NaN,0,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11082099999,3/2/13,0,NaN,NaN,0,NaN,NaN,0.1,NaN,NaN,0,NaN,NaN,0.04,NaN,NaN,0.01,NaN,NaN,0.43,NaN,NaN,0.28,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11082099999,3/3/13,0,NaN,NaN,0,NaN,NaN,0.01,NaN,NaN,0.03,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0.08,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
11082099999,3/4/13,0,0,NaN,0.06,0.008571429,NaN,0,0.018571429,NaN,0.08,0.025714286,NaN,0,0.012857143,NaN,0,0.0375,NaN,0,0.078333333,NaN,NaN,0.126666667,NaN,0,0.028571429,NaN,0,0,NaN,0,0,NaN
11082099999,3/5/13,0,0,NaN,0,0.008571429,NaN,0,0.015714286,NaN,0,0.031428571,NaN,0.04,0.011428571,NaN,NaN,0.062,NaN,0.01,0.067142857,NaN,0,0.108571429,NaN,0.2,0.028571429,NaN,0,0,NaN,0,0,NaN
11082099999,3/6/13,0,0,NaN,0,0.008571429,NaN,0,0.001428571,NaN,0,0.031428571,NaN,0,0.022857143,NaN,0.14,0.06,NaN,0.03,0.006666667,NaN,0.39,0.068571429,NaN,0,0.028571429,NaN,0,0,NaN,0,0,NaN
11082099999,3/7/13,0,0,0,0,0.008571429,0.004285714,0,0,0.023571429,0.07,0.027142857,0.015714286,0,0.045714286,0.026428571,NaN,0.06,0.039090909,0,0.011666667,0.05,0.01,0.062857143,0.066666667,0,0.028571429,0.018461538,0,0,0,0,0,0
11082099999,3/8/13,0,0,0,0,0,0.018571429,0,0.028571429,0.022142857,0.04,0.015714286,0.024285714,0,0.045714286,0.025714286,0.16,0.06,0.035833333,0,0.011666667,0.051818182,0,0.055,0.061538462,0,0.033333333,0.02,0,0,0,0,0,0
11082099999,3/9/13,0,0,0,0,0,0.018571429,0,0.028571429,0.015,0,0.015714286,0.033571429,0.12,0.04,0.022857143,0,0.063333333,0.0675,NaN,0.012,0.059090909,0,0.055,0.04,0,0.001666667,0.0225,0,0,0.003076923,NaN,0,0
11082099999,3/10/13,0,0.005714286,0,0,0,0.018571429,0,0.028571429,0.014285714,0,0.015714286,0.031428571,0.16,0.04,0.022857143,0,0.046666667,0.074166667,0.03,0.006,0.059090909,0,0.00625,0.033846154,0,0.001666667,0.024545455,0,0,0.003333333,0,0,0
11082099999,3/12/13,0,0.005714286,0,0,0,0.014285714,0.2,0.028571429,0.014285714,0,0.005714286,0.025714286,0,0.04,0.045,0,0.04,0.080833333,0,0.0075,0.059090909,0.04,0.005,0.031428571,NaN,0.006666667,0.026363636,0,0,0.003333333,0,0,0
11082099999,3/13/13,0,0.005714286,0,0,0.028571429,0.014285714,0,0.028571429,0.014285714,0,0.017142857,0.025714286,0,0.04,0.120714286,0.08,0.017142857,0.080833333,NaN,0.025,0.058181818,0,0.005,0.031428571,0.01,0.008,0.01,0,0,0.003333333,0,0,0
11082099999,3/14/13,0.04,0.005714286,0.005714286,0,0.028571429,0.014285714,0,0.028571429,0.014285714,0,0.035714286,0.025714286,0,0.022857143,0.120714286,0.04,0.072857143,0.069166667,0,0.122,0.055454545,0,0.005,0.003571429,0,0.014,0.017272727,0,0.006666667,0.003333333,0,0,0
11082099999,3/15/13,0,0.017142857,0.005714286,0,0.028571429,0.014285714,0,0.028571429,0.014285714,0,0.035714286,0.020714286,0,0,0.120714286,0,0.084285714,0.063846154,NaN,0.116,0.055454545,0,0.005,0.009285714,0.03,0.0175,0.019,0,0.008,0.003333333,0,0,0
11082099999,3/16/13,0,0.038571429,0.005714286,0.2,0.028571429,0.014285714,0,0,0.014285714,0.12,0.035714286,0.026428571,0,0.044285714,0.120714286,0,0.095714286,0.051538462,0.07,0.116,0.055454545,0,0,0.009285714,NaN,0.018,0.021,NaN,0.008,0.003333333,NaN,0,0
11082099999,3/17/13,0,0.038571429,0.005714286,0,0.028571429,0.028571429,0,0,0.014285714,0.13,0.035714286,0.027857143,0,0.201428571,0.112142857,0.39,0.098333333,0.051538462,0.51,0.096666667,0.050833333,0,0,0.009285714,0.03,0.02,0.023333333,0.04,0.008,0.003333333,0,0,0
11082099999,3/18/13,0.08,0.032857143,0.017142857,0,0.028571429,0.065,0,0,0.014285714,0,0.035714286,0.029285714,0,0.201428571,0.100714286,0.08,0.091666667,0.051538462,0,0.096666667,0.048333333,0,0.01125,0.009285714,NaN,0.036,0.023333333,NaN,0.008,0.003333333,0,0,0
11082099999,3/19/13,0.15,0.032857143,0.038571429,0,0.028571429,0.065,0,0,0,0,0.035714286,0.029285714,0.31,0.201428571,0.100714286,0.08,0.091666667,0.051538462,0,0.082857143,0.048333333,0,0.01125,0.006923077,0.02,0.0375,0.021,0,0.008,0.003333333,0,0,0
11082099999,3/20/13,0,0.032857143,0.038571429,0,0,0.065,0,0,0.001428571,0,0.035714286,0.030714286,1.1,0.201428571,0.100714286,NaN,0.091666667,0.045384615,0,0.072857143,0.044615385,0,0.01125,0.006923077,0.02,0.034,0.02,0,0.006666667,0.003333333,0,0,0
11082099999,3/21/13,0,0.032857143,0.032857143,0,0.028571429,0.065,0,0,0.01,0,0.02,0.030714286,0,0.201428571,0.100714286,0,0.026666667,0.045833333,0,0,0.048333333,0,0.01125,0.006923077,0.08,0.035,0.02,0,0,0.003333333,0,0,0
11082099999,3/22/13,0,0.05,0.032857143,0,0.101428571,0.065,0,0,0.01,0,0.022857143,0.030714286,0,0.201428571,0.100714286,0,0.013333333,0.05,0,0,0.044615385,0.09,0.012857143,0.006923077,NaN,0.028,0.017,0,0,0.003333333,0,0,0.001
11082099999,3/23/13,0,0.041428571,0.032857143,0,0.101428571,0.050714286,0,0,0.013571429,0.12,0.022857143,0.022142857,0,0.157142857,0.100714286,0,0,0.050909091,0,0,0.039230769,0,0.012857143,0.006923077,0.02,0.024,0.015454545,0,0,0.003076923,0,0,0.001
11082099999,3/24/13,0,0.045714286,0.032857143,0.2,0.101428571,0.050714286,0,0.002857143,0.025714286,0.02,0.025714286,0.013571429,0,0,0.100714286,0,0,0.022727273,0,0,0,0,0.012857143,0.0075,NaN,0.02,0.012727273,0,0,0,0,0,0.002
11082099999,3/25/13,0.2,0.045714286,0.05,0.51,0.101428571,0.050714286,0,0.02,0.034285714,0.02,0.025714286,0.013571429,0,0,0.100714286,0,0,0.017,0,0,0,0,0.012857143,0.009166667,0,0.004,0.011666667,0,0,0.023846154,NaN,0,0.002
11082099999,3/26/13,0.09,0.051428571,0.041428571,0,0.101428571,0.050714286,0,0.02,0.041428571,0,0.025714286,0.013571429,0,0,0.078571429,0,0,0.048,0,0,0,NaN,0,0.009166667,0,0.003333333,0.01,0,0,0.033076923,NaN,0.0025,0.002
11082099999,3/27/13,0.03,0.052857143,0.045714286,0,0.101428571,0.050714286,0.02,0.027142857,0.044285714,0.02,0.008571429,0.013571429,0,0,0,0,0.002,0.045454545,0,0,0,0,0,0.009166667,0,0,0.009166667,0,0,0.033846154,0,0.003333333,0.014
11082099999,3/28/13,0,0.171428571,0.045714286,0,0.072857143,0.050714286,0.12,0.051428571,0.044285714,0,0.007142857,0.013571429,0,0,0,NaN,0.018,0.045454545,NaN,0,0,0,0.003333333,0.009166667,0,0,0.005833333,0,0,0.036153846,NaN,0.006666667,0.014
11082099999,3/29/13,0.04,0.142857143,0.051428571,0,0,0.050714286,0,0.068571429,0.044285714,0,0.004285714,0.013571429,0,0,0,NaN,0.0225,0.045454545,0,0,0,0,0.003333333,0.001666667,0,0,0.008461538,0,0.051666667,0.036153846,0.01,0.005,0.014
11082099999,3/30/13,0.01,0.13,0.052857143,0,0,0.050714286,0.05,0.082857143,0.044285714,0,0.004285714,0.005,0,0,0.008571429,0.01,0.12,0.05,0,0,0.006153846,0,0.002857143,0.001666667,0,0,0.0075,0,0.071666667,0.039166667,NaN,0.004,0.014
11082099999,3/31/13,0.83,0.14,0.171428571,0,0,0.036428571,0.17,0.085714286,0.044285714,0.01,0.001428571,0.003571429,0,0,0.014285714,0.08,0.125,0.05,0,0,0.012307692,NaN,0.002857143,0.001666667,0,0.001428571,0.012307692,NaN,0.073333333,0.039166667,0.01,0.028,0.014
11082099999,4/1/13,0,0.14,0.142857143,0,0,0,0.12,0.068571429,0.044285714,0,0.001428571,0.002142857,0,0,0.042142857,NaN,0.1,0.05,0,0,0.012307692,0.02,0.002857143,0.001666667,0,0.007142857,0.015384615,0.31,0.078333333,0.042727273,0,0.023333333,0.012727273
11082099999,4/2/13,0,0.134285714,0.13,0,0,0.002857143,0.1,0.068571429,0.044285714,0,0.001428571,0.032857143,0,0,0.043571429,0.39,0.083333333,0.05,0,0,0.012307692,0,0.002857143,0.001538462,0,0.012857143,0.016153846,0.12,0.078333333,0.042727273,0,0.021666667,0.012727273
11082099999,4/3/13,0.1,0.132857143,0.14,0,0,0.02,0.04,0.061428571,0.042857143,0,0.001428571,0.032857143,0,0.017142857,0.043571429,0.02,0.098,0.05,0,0.011428571,0.012307692,0,0.002857143,0.001538462,0.01,0.015,0.016153846,0.01,0.094,0.047,0.12,0.018571429,0.014
11082099999,4/4/13,0,0.014285714,0.14,0,0,0.04,0,0.037142857,0.034285714,0,0,0.032857143,0,0.028571429,0.043571429,0,0.082,0.045454545,0,0.022857143,0.017142857,0,0.0025,0.001538462,0.04,0.026666667,0.016153846,0.03,0.078333333,0.052222222,0,0.017142857,0.012727273
11082099999,4/5/13,0,0.014285714,0.134285714,0,0,0.04,0,0.02,0.034285714,0,0,0.032857143,0,0.084285714,0.044285714,0,0.068333333,0.041666667,0,0.022857143,0.017857143,0,0,0.001538462,0.04,0.033333333,0.016153846,0,0.032,0.052222222,0,0.017142857,0.013
11082099999,4/6/13,0,0.014285714,0.132857143,0,0.005714286,0.04,0,0.005714286,0.030714286,0,0.061428571,0.032857143,0.12,0.087142857,0.044285714,NaN,0.003333333,0.040833333,0.08,0.022857143,0.017857143,0,0,0.001666667,NaN,0.035,0.049230769,NaN,0.008,0.052222222,0,0.02,0.011818182
11082099999,4/7/13,0,0,0.014285714,0,0.04,0.04,0,0,0.018571429,0,0.064285714,0.032857143,0.08,0.087142857,0.049285714,0,0,0.034166667,0.08,0.022857143,0.017857143,0,0,0.006153846,0.07,0.033333333,0.050769231,0,0.0075,0.047,0,0,0.012
11082099999,4/8/13,0,0,0.014285714,0,0.08,0.06,0,0,0.01,0,0.064285714,0.114285714,0.39,0.087142857,0.049285714,0,0,0.031538462,0,0.034285714,0.018571429,0,0,0.007692308,0.04,0.026666667,0.071538462,NaN,0,0.016,0,0,0.013333333
11082099999,4/9/13,0,0.005714286,0.014285714,0.04,0.08,0.074285714,0,0,0.002857143,0.43,0.064285714,0.114285714,0.02,0.088571429,0.049285714,0,0,0.001538462,0,0.035714286,0.027142857,0,0,0.007692308,0.01,0.02,0.071538462,0,0,0.004444444,NaN,0,0.015
11082099999,4/10/13,0,0.005714286,0,0.24,0.08,0.083571429,0,0,0,0.02,0.064285714,0.114285714,0,0.071428571,0.074285714,0,0,0,0,0.024285714,0.027142857,0,0.008571429,0.007692308,0,0.078571429,0.076666667,NaN,0,0.003333333,NaN,0,0
11082099999,4/11/13,0,0.005714286,0,0.28,0.08,0.083571429,0,0,0.022142857,0,0.065714286,0.114285714,0,0.07,0.08,0,0,0,0.08,0.012857143,0.027142857,0,0.014285714,0.007692308,0,0.071428571,0.073333333,NaN,0,0,0,0,0
11082099999,4/12/13,0.04,0.005714286,0.005714286,0,0.12,0.083571429,0,0,0.026428571,0,0.228571429,0.131428571,0.01,0.014285714,0.122142857,0,0,0,0.01,0.014285714,0.027142857,0,0.014285714,0.008333333,0,0.104285714,0.076363636,0,0,0,NaN,0,0
11082099999,4/13/13,0,0.005714286,0.005714286,0,0.142857143,0.097857143,0,0,0.026428571,0,0.167142857,0.131428571,0,0.011428571,0.152857143,0,0,0,0,0.031428571,0.021428571,NaN,0.014285714,0.023333333,0.43,0.102857143,0.076363636,0,0,0.035,0,0,0.022857143
11082099999,4/14/13,0,0.022857143,0.005714286,0,0.127142857,0.112142857,0,0,0.026428571,0.01,0.164285714,0.131428571,0.07,0.061428571,0.15,0,0,0,0,0.031428571,0.015714286,0.06,0.014285714,0.023333333,0.02,0.12,0.080909091,0,0,0.037,NaN,0,0.022857143
11082099999,4/15/13,0,0.022857143,0.005714286,0.28,0.087142857,0.112142857,0,0.044285714,0.026428571,1.14,0.164285714,0.131428571,0,0.072857143,0.122142857,0,0,0,0.01,0.02,0.015714286,0.04,0.016666667,0.023333333,0.27,0.12,0.088181818,0,0,0.033636364,NaN,0,0.022857143
11082099999,4/16/13,0,0.028571429,0.005714286,0.2,0.087142857,0.12,0,0.052857143,0.026428571,0,0.198571429,0.100714286,0,0.155714286,0.126428571,0,0,0,0.12,0.018571429,0.015714286,0,0.046666667,0.023333333,0,0.144,0.098181818,NaN,0,0.055454545,NaN,0,0.02
11082099999,4/17/13,0.12,0.028571429,0.022857143,0.13,0.115714286,0.102857143,0,0.052857143,0.026428571,0,0.198571429,0.099285714,0.35,0.234285714,0.128571429,0,0,0,0,0.018571429,0.027142857,0,0.04,0.023333333,NaN,0.0725,0.098181818,0,0.058333333,0.050833333,0,0.053333333,0.017777778
11082099999,4/18/13,0,0.028571429,0.022857143,0,0.144285714,0.082857143,0.31,0.052857143,0.026428571,0,0.197142857,0.105,0.08,0.23,0.128571429,0,0,0.003076923,0,0.018571429,0.021428571,0,0.031428571,0.023333333,0,0.0975,0.098181818,0,0.061666667,0.046923077,0,0.04,0.02
11082099999,4/19/13,0.08,0.028571429,0.028571429,0,0.104285714,0.089285714,0.06,0.052857143,0.026428571,0.24,0.034285714,0.105714286,0.59,0.23,0.127857143,0,0,0.003076923,0,0.017142857,0.020714286,NaN,0.025714286,0.023333333,NaN,0.06,0.098181818,0,0.061666667,0.046923077,NaN,0.032,0.017777778
11082099999,4/20/13,0,0.028571429,0.028571429,0.2,0.097142857,0.103571429,0,0.052857143,0.026428571,0,0.034285714,0.105714286,0.55,0.241428571,0.127857143,0,0,0.021538462,0,0,0.020714286,0.18,0.025714286,0.021538462,NaN,0.09,0.059090909,0.35,0.087142857,0.046923077,0.16,0.026666667,0.017777778
11082099999,4/21/13,0,0.011428571,0.028571429,0.2,0.078571429,0.103571429,0,0.052857143,0.026428571,0,0.034285714,0.123571429,0.04,0.195714286,0.125,0,0,0.021538462,0,0.022857143,0.022307692,0,0.025714286,0.016923077,0.12,0.072,0.057272727,0.02,0.087142857,0.065384615,0,0.026666667,0.016
11082099999,4/22/13,0,0.011428571,0.028571429,0,0.078571429,0.097857143,0,0.008571429,0.035,0,0.045714286,0.042142857,0,0.184285714,0.142142857,0,0.006666667,0.021538462,0,0.022857143,0.021538462,0,0.025714286,0.014615385,0.12,0.072,0.032727273,0,0.087142857,0.065384615,0,0.032,0.016
11082099999,4/23/13,0,0,0.028571429,0.15,0.091428571,0.085714286,0,0,0.037142857,0,0.012857143,0.042142857,0.08,0.1,0.142142857,0,0.006666667,0.021538462,0,0.022857143,0.015384615,0,0.0225,0.020769231,0.12,0.06,0.032727273,0.24,0.087142857,0.060714286,0,0.026666667,0.016
11082099999,4/24/13,0,0,0.011428571,0,0.091428571,0.076428571,0,0,0.037142857,0,0.012857143,0.042142857,0.03,0.021428571,0.117142857,NaN,0.046666667,0.021538462,0.16,0.022857143,0.073846154,0,0,0.020769231,0,0.051428571,0.033333333,0,0.037142857,0.060714286,0,0,0.016
11082099999,4/25/13,0,0,0.011428571,0,0.062857143,0.079285714,0,0,0.015714286,0.08,0.05,0.042142857,0,0.02,0.111428571,0.04,0.046666667,0.021538462,0,0.026666667,0.073846154,0,0.00125,0.03,0,0.034285714,0.036363636,0,0.068571429,0.063571429,NaN,0,0.016
11082099999,4/26/13,0,0,0,0.09,0.091428571,0.079285714,0,0.017142857,0.021428571,0.01,0.05,0.039285714,0,0.054285714,0.075,0,0.046666667,0.030769231,0,0.026666667,0.073846154,0,0.01125,0.030714286,0,0.017142857,0.053333333,0,0.068571429,0.065,0,0,0.016
11082099999,4/27/13,0,0,0,0.2,0.074285714,0.067857143,0,0.021428571,0.022142857,0,0.05,0.040714286,0,0.042857143,0.05,0.24,0.046666667,0.143076923,0,0.033333333,0.110769231,0,0.01125,0.023571429,0,0,0.049230769,0,0.034285714,0.041428571,0,0,0
11082099999,4/28/13,0,0,0,0,0.074285714,0.053571429,0,0.021428571,0.022142857,0.26,0.05,0.065,0.03,0.038571429,0.052857143,0,0.04,0.143076923,NaN,0.133333333,0.111538462,0,0.02625,0.025384615,0,0.005714286,0.04,0.24,0.034285714,0.040714286,0,0,0
11082099999,4/29/13,0,0.061428571,0,0.2,0.08,0.053571429,0.12,0.022857143,0.022142857,0,0.038571429,0.065714286,0.24,0.038571429,0.052857143,0,0.034285714,0.143076923,0,0.133333333,0.169230769,0.01,0.03125,0.034615385,0,0.006666667,0.031538462,0,0.04,0.041428571,NaN,0,0
11082099999,4/30/13,0,0.095714286,0,0.03,0.067142857,0.042857143,0.03,0.042857143,0.036428571,0,0.065714286,0.065714286,0,0.05,0.047142857,0,0.051428571,0.143076923,0.04,0.133333333,0.175384615,0.08,0.04125,0.040769231,0,0.046666667,0.024166667,0,0.042857143,0.024285714,NaN,0,0
11082099999,5/1/13,0,0.095714286,0,0,0.044285714,0.051428571,0,0.044285714,0.036428571,0,0.068571429,0.065714286,0,0.078571429,0.047857143,0,0.225714286,0.132857143,0.76,0.213333333,0.163076923,0,0.047142857,0.040769231,0.04,0.046666667,0.025,0,0.045714286,0.072142857,0,0,0
11082099999,5/2/13,0.43,0.13,0.061428571,0.04,0.044285714,0.052142857,0.01,0.044285714,0.036428571,0,0.08,0.06,0,0.085714286,0.047857143,0,0.225714286,0.14,0,0.184285714,0.163076923,0.12,0.064285714,0.040769231,NaN,0.046666667,0.025,0.04,0.012857143,0.072142857,0,0,0
11082099999,5/3/13,0.24,0.131428571,0.095714286,0,0.015714286,0.051428571,0.14,0.027142857,0.036428571,0.2,0.081428571,0.059285714,0.08,0.051428571,0.067857143,0.12,0.225714286,0.14,0,0.291428571,0.173846154,0.04,0.074285714,0.040769231,0.24,0.048333333,0.025,0.02,0.014285714,0.072142857,NaN,0,0
11082099999,5/4/13,0,0.154285714,0.095714286,0.04,0.011428571,0.042857143,0.01,0.051428571,0.037857143,0.02,0.081428571,0.059285714,0.2,0.051428571,0.067857143,1.46,0.225714286,0.121538462,0.48,0.297142857,0.173846154,0.08,0.062857143,0.046923077,0,0.058,0.025,0.02,0.014285714,0.072142857,NaN,0,0
